"post.prov","group","elpd","prov"
"ON","10",-0.719508041648158,"ON"
"QC","1",-0.698734575916781,"QC"
"QC","2",-0.674227933215462,"QC"
"QC","3",-0.703961354234252,"QC"
"QC","4",-0.670055779211842,"QC"
"QC","5",-0.712349647248206,"QC"
"QC","6",-0.695466509326713,"QC"
"QC","7",-0.707199714326831,"QC"
"QC","8",-0.708291084765084,"QC"
"QC","9",-0.684078942106835,"QC"
"QC","10",-0.670503035247673,"QC"
