"prov.orig","prov.comp","temp","cup","elpd"
"AB","NB2",30,"10",-8.51537402255082
"IN","NB2",30,"10",-5.08853473303388
"IPU","NB2",30,"10",-8.298671505778
"NB2","NB2",30,"10",-5.83531403241352
"ON","NB2",30,"10",-8.3368653989153
"QC","NB2",30,"10",-4.55671530034427
"AB","ON",30,"10",-6.99480717222879
"IN","ON",30,"10",-4.68179992924406
"IPU","ON",30,"10",-7.92823242086818
"NB2","ON",30,"10",-9.13936925656782
"ON","ON",30,"10",-3.8262689803538
"QC","ON",30,"10",-4.17178350824883
"AB","QC",30,"10",-8.95952633091829
"IN","QC",30,"10",-4.6645379173411
"IPU","QC",30,"10",-7.36832828284725
"NB2","QC",30,"10",-8.52520937321197
"ON","QC",30,"10",-7.05977412793822
"QC","QC",30,"10",-5.35138283511877
"AB","AB",35,"10",-3.87006041284985
"IN","AB",35,"10",-10.2115676346531
"IPU","AB",35,"10",-8.27489107635225
"NB2","AB",35,"10",-12.3860001471658
"ON","AB",35,"10",-5.4624092525606
"QC","AB",35,"10",-5.93379743924099
"AB","IN",35,"10",-5.83215312827589
"IN","IN",35,"10",-8.61189488756297
"IPU","IN",35,"10",-8.80219490481681
"NB2","IN",35,"10",-19.6349371801288
"ON","IN",35,"10",-4.95518174911729
"QC","IN",35,"10",-7.7935883817083
"AB","IPU",35,"10",-6.61357512111456
"IN","IPU",35,"10",-12.7804712192846
"IPU","IPU",35,"10",-8.19301133911125
"NB2","IPU",35,"10",-19.1943995617538
"ON","IPU",35,"10",-4.83404371259871
"QC","IPU",35,"10",-7.25624927530913
"AB","NB2",35,"10",-5.87354557119776
"IN","NB2",35,"10",-9.28645830639341
"IPU","NB2",35,"10",-24.8515216870572
"NB2","NB2",35,"10",-9.86622893708584
"ON","NB2",35,"10",-8.68859889867502
"QC","NB2",35,"10",-10.1762975358488
"AB","ON",35,"10",-4.06557228238419
"IN","ON",35,"10",-9.63017621412726
"IPU","ON",35,"10",-14.3674301046591
"NB2","ON",35,"10",-10.4372935303478
"ON","ON",35,"10",-4.12776453134833
"QC","ON",35,"10",-5.75222792198487
"AB","QC",35,"10",-5.55386919026063
"IN","QC",35,"10",-8.4628126944288
"IPU","QC",35,"10",-15.935964694466
"NB2","QC",35,"10",-8.87043597545351
"ON","QC",35,"10",-5.91736486114891
"QC","QC",35,"10",-5.59334128018228
"IPU","AB",5,"100",-6.00201015174926
"IPU","IN",5,"100",-5.33268243603735
"IPU","IPU",5,"100",-4.75895471704199
"IPU","NB2",5,"100",-10.1075711123948
"IPU","ON",5,"100",-9.59871895415216
"IPU","QC",5,"100",-10.8358105894824
"NB2","AB",10,"100",-7.08643240566136
"ON","AB",10,"100",-5.26928192030239
"QC","AB",10,"100",-5.62216306573858
"NB2","IN",10,"100",-14.6548059164153
"ON","IN",10,"100",-6.94032341637613
"QC","IN",10,"100",-9.68276195936047
"NB2","IPU",10,"100",-11.5199430633141
"ON","IPU",10,"100",-4.34652788904375
"QC","IPU",10,"100",-6.38746764441816
"NB2","NB2",10,"100",-5.55132377011168
"ON","NB2",10,"100",-6.68759795110673
"QC","NB2",10,"100",-5.41399894149682
"NB2","ON",10,"100",-6.63118384395395
"ON","ON",10,"100",-3.28898066932559
"QC","ON",10,"100",-5.55993345827547
"NB2","QC",10,"100",-6.16218227940568
"ON","QC",10,"100",-6.98129871329354
"QC","QC",10,"100",-3.08316597438799
